Note: there are more sheets in this document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Each session is found on its own sheet below. There is a session for each time you have renewed these questions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Voter,Location- Which campus are you located?:,First Impressions- What did you think when you first saw the furniture?:,First Impressions- What piece of furniture caught your eye first?: 1,First Impressions- What piece of furniture caught your eye first?: 2,First Impressions- What piece of furniture caught your eye first?: 3,First Impressions- What piece of furniture caught your eye first?: 4,First Impressions- What piece of furniture caught your eye first?: 5,First Impressions- What piece of furniture caught your eye first?: 6,First Impressions- What piece of furniture caught your eye first?: 7,First Impressions- What piece of furniture caught your eye first?: 8,First Impressions- What piece of furniture caught your eye first?: 9,First Impressions- What piece of furniture caught your eye first?: 10,First Impressions- What piece of furniture caught your eye first?: 11,Comfort- Have you tested all 4 chairs?:,Comfort- Which is your favorite chair?:,Comfort- Why is it your favorite chair?: 1,Comfort- Why is it your favorite chair?: 2,Comfort- Why is it your favorite chair?: 3,Comfort- Why is it your favorite chair?: 4,Comfort- How comfortable is your favorite chair?:,Comfort- How long can you comfortably sit in your favorite chair?:,Functionality- Have you tested all 4 tables?:,Functionality- Which is your favorite desk?:,Functionality- Why is it your favorite desk?: 1,Functionality- Why is it your favorite desk?: 2,Functionality- Why is it your favorite desk?: 3,Functionality- Why is it your favorite desk?: 4,Functionality- Which desk gives you enough space to work? (select all that apply): 1,Functionality- Which desk gives you enough space to work? (select all that apply): 2,Functionality- Which desk gives you enough space to work? (select all that apply): 3,Functionality- Which desk gives you enough space to work? (select all that apply): 4,Functionality- Which desk gives you enough space to work? (select all that apply): 5,Functionality- How often are you rearranging the desks during class?:,Functionality- Which desk is easiest to move or adjust? (select all that apply): 1,Functionality- Which desk is easiest to move or adjust? (select all that apply): 2,Functionality- Which desk is easiest to move or adjust? (select all that apply): 3,Functionality- Which desk is easiest to move or adjust? (select all that apply): 4,Functionality- What are your complaints about the desks?: 1,Functionality- What are your complaints about the desks?: 2,Functionality- What are your complaints about the desks?: 3,Functionality- What are your complaints about the desks?: 4,Functionality- What are your complaints about the desks?: 5,Functionality- What are your complaints about the desks?: 6,Functionality- What are your complaints about the desks?: 7,Functionality- What are your complaints about the desks?: 8,Style- Is the most comfortable chair also your favorite chair design?:,Style- If you could redesign anything about the design of the chair what would it be?: 1,Style- If you could redesign anything about the design of the chair what would it be?: 2,Style- If you could redesign anything about the design of the chair what would it be?: 3,Style- If you could redesign anything about the design of the chair what would it be?: 4,Style- Is your favorite desk also your favorite desk design?:,"Style- If you could redesign anything about your favorite desk, what would it be?: 1","Style- If you could redesign anything about your favorite desk, what would it be?: 2",Overall Experience- How does the furniture affect the function of the classroom? :,Overall Experience- What is your overall feeling about the new classroom furniture?: 1,Overall Experience- What is your overall feeling about the new classroom furniture?: 2,Overall Experience- What is your overall feeling about the new classroom furniture?: 3,Overall Experience- Is there anything you miss about your old classroom?: 1,Overall Experience- Is there anything you miss about your old classroom?: 2,Overall Experience- Is there anything you miss about your old classroom?: 3,Overall Experience- Is there anything you miss about your old classroom?: 4,Overall Experience- Any other thoughts or suggesstions?: 1,Overall Experience- Any other thoughts or suggesstions?: 2
2025-12-16,1,Midland Freshman High School,It looks interesting,My first impression was that the seat and chair were not welded together.,The chair and also the desk because they are much bigger.,,,,,,,,,,No,Chair 3,because it is wide and also big for a person.,,,,Somewhat comfortable,Entire class,Yes,Desk 3,Because its space and also its large,,,,Desk 3,,,,,Classroom layout stays the same,Desk 3,,,,nothing really,,,,,,,,It's fine,ion I'm not a architect,,,,It's fine,ion how to build,,No big difference,its ight,,,nope,,,,nope,
2025-12-16,2,Midland Freshman High School,It looks interesting,nothing really,,,,,,,,,,,Yes,Chair 4,I like being able to move my chair and not having it stuck,,,,Somewhat comfortable,Entire class,Yes,Desk 2,idk cuz its big I guess,,,,Desk 2,,,,,Classroom layout stays the same,Desk 3,Desk 3,,,wheels all around,,,,,,,,It's fine,nothing,,,,It's fine,nothing,,No big difference,neutral,,,no,,,,nope,
2025-12-16,3,Midland Freshman High School,"Wow, I love it!",The desk Is kinda too high for me,,,,,,,,,,,Yes,Chair 3,because it was the most comfortable out of the rest of them,,,,Somewhat comfortable,Entire class,Yes,Desk 3,Because the other ones sucked,,,,Desk 3,,,,,Periodically (as needed),Desk 3,,,,they are too tall for the short people,,,,,,,,It's fine,nothing,,,,It's fine,make it shorter,,It's a nice upgrade,it is pretty cool I like it but their too tall for the shorter people,,,,,,,,
2025-12-16,4,Midland Freshman High School,I liked the old furniture better,I didn't like the chairs that are connected to the desks they are really un comfortable and make me loose focus,,,,,,,,,,,Yes,Chair 2,because it is comfortable and it doesn't have a whole in the bottom so I feel more comfortable,,,,Very comfortable,Entire class,Yes,Desk 1,because it  doesn't roll around while I'm sitting down,,,,None of them,,,,,Weekly,Desk 3,,,,they need to be bigger  and make it to wear they don't move and are stable and still,,,,,,,,Yes. it's awesome,I think its perfect for school,,,,It's fine,it could be bigger and not move and lean as much,,No big difference,its what ever its just school,,,no I just wanna get school over with,,,,no,
2025-12-16,5,Midland Freshman High School,How is this going to work?,"Needs better chairs and desk,and at least put some seats for the  patio outside where the tall tables are at because people are tired.",,,,,,,,,,,Yes,Chair 3,because,,,,Neither comfortable nor uncomfortable,1/2 of the class,No,Desk 3,because,,,,Desk 3,,,,,Classroom layout stays the same,Desk 3,,,,,,,,,,,,It's fine,,,,,It's fine,,,No big difference,,,,,,,,,
2025-12-16,6,Midland Freshman High School,It looks interesting,The benches are out in front of the building. They are really old and tilt when I sit in one.,,,,,,,,,,,No,Chair 3,It is very comfortable.,,,,Somewhat comfortable,Most of the time,Yes,Desk 1,I like the size of it.,,,,Desk 1,,,,,Weekly,Desk 3,Desk 1,,,There is no brakes on the wheels and moves when im trying to work.,,,,,,,,It's fine,Im not sure on how to.,,,,It's fine,Im not sure how too.,,No big difference,Its okay not bad nor good.,,,No not really.,,,,No other thoughts.,
2025-12-16,7,Midland Freshman High School,It looks interesting,It looked great it felt normal I thinks keeping the trouble markers apart is great idea.,,,,,,,,,,,No,Chair 3,comforty,,,,Very comfortable,Entire class,Yes,Desk 1,great,,,,All of them,,,,,Periodically (as needed),Desk 1,Desk 3,Desk 2,,to small for me,,,,,,,,Yes. it's awesome,put arm rest,,,,Yes. it's awesome,good,,It's a nice upgrade,great,,,no,,,,no,
2025-12-16,8,Midland Freshman High School,It looks interesting,It's the desk and the chair when they are combined together that's so interesting to me,I love how every room is different with different styles,,,,,,,,,,Yes,Chair 3,"cause it's comfortable, and I don't and a chair and desk",,,,Very comfortable,Entire class,Yes,Desk 3,cause its very neet,,,,Desk 3,,,,,Classroom layout stays the same,Desk 3,,,,the chair one is to small,,,,,,,,Yes. it's awesome,"I won't redesign it, it's perfect",,,,Yes. it's awesome,make everything white,,It's a nice upgrade,its better,,,no,,,,no,
2025-12-16,9,Midland Freshman High School,"Wow, I love it!",,,,,,,,,,,,Yes,Chair 3,is is my favorite chair because it is the most comfortable.,,,,Somewhat comfortable,Most of the time,Yes,Desk 1,,,,,Desk 2,Desk 3,Desk 1,,,Classroom layout stays the same,Desk 1,,,,some of the desks are very small,,,,,,,,Yes. it's awesome,,,,,Yes. it's awesome,,,It's a nice upgrade,,,,no,,,,,
2025-12-16,10,Midland Freshman High School,It looks interesting,idk,idk,I like the furniture of my school,,,,,,,,,Yes,Chair 4,idk,,,,Somewhat comfortable,Most of the time,Yes,Desk 3,idk,,,,All of them,Desk 1,,,,Weekly,Desk 1,,,,idk,,,,,,,,Could be better,idk,,,,Yes. it's awesome,idk,,It's a nice upgrade,idk,,,no,,,,no,
