Company,Technology,Desc,Considerations,Brightness,Warranty,Space Req, Device , Content , Additional Architecture , Support  , Total ,, Count  , Cost  
Elumenati,4.5m,Immersive Panorama with 5.1 surround sound,Requires IDF wiring,,"2 days install and site training, 24 support hours",800," $85,900 "," $7,600 "," $80,000 "," $12,500 "," $173,500 ",,,
Elumenati,5.0m,Immersive Panorama with 5.1 surround sound,Requires IDF wiring,,"2 days install and site training, 24 support hours",800," $86,900 "," $7,600 "," $80,000 "," $12,500 "," $174,500 ",,,
Elumenati,6.8m,Immersive Panorama with 5.1 surround sound,Requires IDF wiring,,"2 days install and site training, 24 support hours",800," $100,900 "," $7,600 "," $80,000 "," $12,500 "," $188,500 ",,1," $188,500 "
Elumenati,Omni Globe,Immersive Interactive Sphere,Requires IDF wiring,,"2 days install and site training, 24 support hours",100,," $7,600 "," $25,000 "," $12,500 "," $32,600 ",,,
,,,,,,,,,,,,,,
KidsJumpTech,Mobile Wall,mobile comercial wall unit,Wall damage due to interaction,5000lm,2 year warrenty,400," $12,940 ", $-   , $250 ,," $13,190 ",,3," $39,570 "
KidsJumpTech,Fixed Wall,interactive wall projection,Acoustics and dimmable lighting,5000lm,2 year warrenty,400," $8,999 ", $-   ," $5,000 ",," $13,999 ",,,
KidsJumpTech,Mobile Floor,mobile comercial floor unit,Floor Padding needs storage,5000lm,2 year warrenty,400," $14,835 ", $-   , $250 ,," $15,085 ",,3," $45,255 "
KidsJumpTech,Fixed Floor,interactive floor projection,Acoustics and dimmable lighting,5200lm,2 year warrenty,400," $6,999 ", $-   ," $5,000 ",," $11,999 ",,3," $35,997 "
KidsJumpTech,Sandbox,Interactive sandbox and table top projection,Storage and sink/clean up area,6200lm,2 year warrenty,200," $16,999 ", $-   ," $2,000 ",," $18,999 ",,1," $18,999 "
KidsJumpTech,Alive Drawings,Scanning kiosk and interactive projection,Storage for interactive art supplies,,2 year warrenty,800,,,,,,,,
KidsJumpTech,Mobile Touch Table,"65"" 4k multi touch",Can be used as a kiosk,"4k touch screen, 0-90deg tilt",2 year warrenty,200," $7,699 ", $-   ," $1,000 ",," $8,699 ",,2," $17,398 "
KidsJumpTech,Fixed Touch Table,"65"" 4k multi touch",Can be branded,"4k touch screen, 0-90deg tilt",2 year warrenty,200," $7,699 ", $-   ," $1,000 ",," $8,699 ",,,
,,,,,,,,,,,,,,
Play Lu,Single,Single sided Interactive Gym System,"Need special Wifi privileges and unobstructed view, project surface considerations",,,900," $35,000 "," $7,600 "," $5,000 ",," $47,600 ",,,
Play Lu,Duo,dual sided Interactive Gym System,"Need special Wifi privileges and unobstructed view, project surface considerations",,,1800," $65,000 "," $7,600 "," $5,000 ",," $77,600 ",,,
Play Lu,Mobile,mobile Interactive Gym System,"Need special Wifi privileges and unobstructed view, project surface considerations",,,900," $40,000 "," $7,600 "," $1,000 ",," $48,600 ",,3," $142,800 "
,,,,,,,,,,,,,,
Everbright,8',,,,,," $16,000 ", $-   ," $2,000 ",," $18,000 ",,,
,,,,,,,,,,,,,,
Z Space,Single Laptop,AR Laptop with pen,Sold in bundles (est is 10 devices). Needs special network permissions. Software is a yearly license (est at 5 years),,,," $4,999 "," $5,000 ", $250 ,," $102,490 ",,1," $102,490 "
,,,,,,,,,,,,,,
Looking Glass,"16""",Augmented Reality Monitor,Need to ID programes inteded to use with,,,," $3,000 ", $-   , $500 ,," $3,500 ",,,
Looking Glass,"27""",Augmented Reality Monitor,Can be used as a teaching tool for software and media development,,,," $10,000 ", $-   , $500 ,," $10,500 ",,10," $105,000 "
Looking Glass,"32""",Augmented Reality Monitor,,,,, na , $-   , $500 ,,#VALUE!,,,
Looking Glass,"65""",Augmented Reality Monitor,,,,, na , $-   , $500 ,,#VALUE!,,,
VXR Labs,Meta Quest and content subscription,50ct 128gb Meta Quest 3 and 3 years content,Suite of educational lessons and tools. Need storage and other tools,na,,," $41,875 ", $-   ," $12,000 ",," $53,875 ",,1," $53,875 "
,,,,,,,,,,,,,,
Quiver Vision,AR Worksheets and device application,"350+ AR sheets
110+ Activity Plans
6 Teacher Logins","Subscription service, there is no architecutral imact",,,, $300 , $-   , $-   , $-   , $300 ,,1, $300 
,,,,,,,,,,,,,,
,,,,,,,,,,,,Total,," $750,184 "
